func,func_intent_summary,security_intent_summary
"def get_collection(self, mongo_collection, mongo_db=None):
        """"""
        Fetches a mongo collection object for querying.

        Uses connection schema as DB unless specified.
        """"""
        mongo_db = mongo_db if mongo_db is not None else self.connection.schema
        mongo_conn = self.get_conn()

        return mongo_conn.get_database(mongo_db).get_collection(mongo_collection)","Fetches a mongo collection object for querying.

        Uses connection schema as DB unless specified.",
"def insert_one(self, mongo_collection, doc, mongo_db=None, **kwargs):
        """"""
        Inserts a single document into a mongo collection
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_one
        """"""
        collection = self.get_collection(mongo_collection, mongo_db=mongo_db)

        return collection.insert_one(doc, **kwargs)","Inserts a single document into a mongo collection
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_one",
"def insert_many(self, mongo_collection, docs, mongo_db=None, **kwargs):
        """"""
        Inserts many docs into a mongo collection.
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_many
        """"""
        collection = self.get_collection(mongo_collection, mongo_db=mongo_db)

        return collection.insert_many(docs, **kwargs)","Inserts many docs into a mongo collection.
        https://api.mongodb.com/python/current/api/pymongo/collection.html#pymongo.collection.Collection.insert_many",
"def get_file(self):
        """"""
        Gets the file including name and payload.

        :returns: the part's name and payload.
        :rtype: tuple
        """"""
        return self.part.get_filename(), self.part.get_payload(decode=True)","Gets the file including name and payload.

        :returns: the part's name and payload.
        :rtype: tuple",
"def put_records(self, records):
        """"""
        Write batch records to Kinesis Firehose
        """"""

        firehose_conn = self.get_conn()

        response = firehose_conn.put_record_batch(
            DeliveryStreamName=self.delivery_stream,
            Records=records
        )

        return response",Write batch records to Kinesis Firehose,
"def get_conn(self):
        """"""
        Returns a FTP connection object
        """"""
        if self.conn is None:
            params = self.get_connection(self.ftp_conn_id)
            pasv = params.extra_dejson.get(""passive"", True)
            self.conn = ftplib.FTP(params.host, params.login, params.password)
            self.conn.set_pasv(pasv)

        return self.conn",Returns a FTP connection object,
"def list_directory(self, path, nlst=False):
        """"""
        Returns a list of files on the remote system.

        :param path: full path to the remote directory to list
        :type path: str
        """"""
        conn = self.get_conn()
        conn.cwd(path)

        files = conn.nlst()
        return files","Returns a list of files on the remote system.

        :param path: full path to the remote directory to list
        :type path: str",
"def rename(self, from_name, to_name):
        """"""
        Rename a file.

        :param from_name: rename file from name
        :param to_name: rename file to name
        """"""
        conn = self.get_conn()
        return conn.rename(from_name, to_name)","Rename a file.

        :param from_name: rename file from name
        :param to_name: rename file to name",
"def execute(self, context):
        """"""
        Call the DiscordWebhookHook to post message
        """"""
        self.hook = DiscordWebhookHook(
            self.http_conn_id,
            self.webhook_endpoint,
            self.message,
            self.username,
            self.avatar_url,
            self.tts,
            self.proxy
        )
        self.hook.execute()",Call the DiscordWebhookHook to post message,
"def get_conn(self):
        """"""Return the FileService object.""""""
        conn = self.get_connection(self.conn_id)
        service_options = conn.extra_dejson
        return FileService(account_name=conn.login,
                           account_key=conn.password, **service_options)",Return the FileService object.,
"def get_conn(self):
        """"""
        Returns a Google Cloud Storage service object.
        """"""
        if not self._conn:
            self._conn = storage.Client(credentials=self._get_credentials())

        return self._conn",Returns a Google Cloud Storage service object.,
"def argmin(arr, f):
    """"""Return the index, i, in arr that minimizes f(arr[i])""""""
    m = None
    i = None
    for idx, item in enumerate(arr):
        if item is not None:
            if m is None or f(item) < m:
                m = f(item)
                i = idx
    return i","Return the index, i, in arr that minimizes f(arr[i])",
"def get_log_conn(self):
        """"""
        Establish an AWS connection for retrieving logs during training

        :rtype: CloudWatchLogs.Client
        """"""
        config = botocore.config.Config(retries={'max_attempts': 15})
        return self.get_client_type('logs', config=config)","Establish an AWS connection for retrieving logs during training

        :rtype: CloudWatchLogs.Client",
"def get_tables(self, db, pattern='*'):
        """"""
        Get a metastore table object
        """"""
        with self.metastore as client:
            tables = client.get_tables(db_name=db, pattern=pattern)
            return client.get_table_objects_by_name(db, tables)",Get a metastore table object,
"def get_conn(self):
        """"""
        Retrieves connection to Cloud Vision.

        :return: Google Cloud Vision client object.
        :rtype: google.cloud.vision_v1.ProductSearchClient
        """"""
        if not self._client:
            self._client = ProductSearchClient(credentials=self._get_credentials())
        return self._client","Retrieves connection to Cloud Vision.

        :return: Google Cloud Vision client object.
        :rtype: google.cloud.vision_v1.ProductSearchClient",
"def _escape(s):
    """""" Helper method that escapes parameters to a SQL query. """"""
    e = s
    e = e.replace('\\', '\\\\')
    e = e.replace('\n', '\\n')
    e = e.replace('\r', '\\r')
    e = e.replace(""'"", ""\\'"")
    e = e.replace('""', '\\""')
    return e",Helper method that escapes parameters to a SQL query.,
"def _validate_value(key, value, expected_type):
    """""" function to check expected type and raise
    error if type is not correct """"""
    if not isinstance(value, expected_type):
        raise TypeError(""{} argument must have a type {} not {}"".format(
            key, expected_type, type(value)))","function to check expected type and raise
    error if type is not correct",
"def get_service(self):
        """"""
        Returns a BigQuery service object.
        """"""
        http_authorized = self._authorize()
        return build(
            'bigquery', 'v2', http=http_authorized, cache_discovery=False)",Returns a BigQuery service object.,
"def fetchall(self):
        """"""
        Fetch all (remaining) rows of a query result, returning them as a sequence of
        sequences (e.g. a list of tuples).
        """"""
        result = []
        while True:
            one = self.fetchone()
            if one is None:
                break
            else:
                result.append(one)
        return result","Fetch all (remaining) rows of a query result, returning them as a sequence of
        sequences (e.g. a list of tuples).",
